holdout_season,train_size,test_size,mae,rmse,r2
2016,254535,31122,0.2123909592628479,0.3244884931510852,0.9662535190582275
2017,254279,31378,0.21162761747837067,0.3224315447382136,0.9658690094947815
2018,255680,29977,0.23461727797985077,0.34841200303331815,0.9603813886642456
2019,255212,30445,0.23105497658252716,0.3438828601708429,0.9615616798400879
2020,254449,31208,0.2342497706413269,0.3464697833681906,0.9606806635856628
2021,253456,32201,0.23385968804359436,0.3491646372710334,0.9603625535964966
2022,251995,33662,0.23279517889022827,0.3417303729075655,0.9616726040840149
2023,252581,33076,0.22876814007759094,0.332524875144198,0.9640005826950073
2024,253069,32588,0.23099589347839355,0.34292305835330766,0.9603846073150635
